REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Kansas,45,2016,80.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,45,2016,269.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,45,2016,641.0,10.0,2.0,1.87,1.56,0.31,FALL
Maryland,45,2016,135.0,0.0,0.0,0.0,0.0,0.0,FALL
Massachusetts,45,2016,467.0,5.0,1.0,1.28,1.07,0.21,FALL
Michigan,45,2016,802.0,0.0,0.0,0.0,0.0,0.0,FALL
Minnesota,45,2016,216.0,0.0,0.0,0.0,0.0,0.0,FALL
Mississippi,45,2016,92.0,0.0,0.0,0.0,0.0,0.0,FALL
Missouri,45,2016,601.0,0.0,0.0,0.0,0.0,0.0,FALL
Montana,45,2016,117.0,1.0,0.0,0.85,0.85,0.0,FALL
Nebraska,45,2016,81.0,0.0,0.0,0.0,0.0,0.0,FALL
Nevada,45,2016,11.0,0.0,0.0,0.0,0.0,0.0,FALL
New Hampshire,45,2016,25.0,0.0,0.0,0.0,0.0,0.0,FALL
New Mexico,45,2016,234.0,0.0,0.0,0.0,0.0,0.0,FALL
New York,45,2016,1685.0,18.0,1.0,1.13,1.07,0.06,FALL
North Carolina,45,2016,186.0,4.0,2.0,3.23,2.15,1.08,FALL
North Dakota,45,2016,36.0,1.0,0.0,2.78,2.78,0.0,FALL
Ohio,45,2016,1333.0,8.0,4.0,0.9,0.6,0.3,FALL
Oklahoma,45,2016,148.0,2.0,0.0,1.35,1.35,0.0,FALL
Oregon,45,2016,273.0,39.0,0.0,14.29,14.29,0.0,FALL
Pennsylvania,45,2016,385.0,1.0,2.0,0.78,0.26,0.52,FALL
South Carolina,45,2016,229.0,0.0,1.0,0.44,0.0,0.44,FALL
South Dakota,45,2016,130.0,0.0,0.0,0.0,0.0,0.0,FALL
Tennessee,45,2016,184.0,1.0,1.0,1.09,0.54,0.54,FALL
Texas,45,2016,1514.0,10.0,19.0,1.92,0.66,1.25,FALL
Utah,45,2016,517.0,16.0,0.0,3.09,3.09,0.0,FALL
Vermont,45,2016,56.0,0.0,0.0,0.0,0.0,0.0,FALL
Virginia,45,2016,216.0,0.0,0.0,0.0,0.0,0.0,FALL
Washington,45,2016,562.0,33.0,1.0,6.05,5.87,0.18,FALL
West Virginia,45,2016,433.0,0.0,0.0,0.0,0.0,0.0,FALL
Wisconsin,45,2016,569.0,1.0,0.0,0.18,0.18,0.0,FALL
Puerto Rico,45,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,46,2016,678.0,15.0,9.0,3.54,2.21,1.33,FALL
Arizona,46,2016,182.0,1.0,0.0,0.55,0.55,0.0,FALL
Arkansas,46,2016,45.0,1.0,0.0,2.22,2.22,0.0,FALL
California,46,2016,878.0,10.0,1.0,1.25,1.14,0.11,FALL
Colorado,46,2016,386.0,7.0,1.0,2.07,1.81,0.26,FALL
Connecticut,46,2016,350.0,4.0,0.0,1.14,1.14,0.0,FALL
Delaware,46,2016,108.0,3.0,0.0,2.78,2.78,0.0,FALL
Georgia,46,2016,818.0,14.0,9.0,2.81,1.71,1.1,FALL
Hawaii,46,2016,154.0,4.0,0.0,2.6,2.6,0.0,FALL
Idaho,46,2016,36.0,2.0,0.0,5.56,5.56,0.0,FALL
Illinois,46,2016,291.0,4.0,3.0,2.41,1.37,1.03,FALL
Indiana,46,2016,160.0,1.0,0.0,0.63,0.63,0.0,FALL
Iowa,46,2016,98.0,0.0,0.0,0.0,0.0,0.0,FALL
Kansas,46,2016,81.0,1.0,2.0,3.7,1.23,2.47,FALL
Kentucky,46,2016,266.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,46,2016,735.0,21.0,5.0,3.54,2.86,0.68,FALL
Maryland,46,2016,108.0,0.0,0.0,0.0,0.0,0.0,FALL
Massachusetts,46,2016,439.0,5.0,0.0,1.14,1.14,0.0,FALL
Michigan,46,2016,754.0,3.0,4.0,0.93,0.4,0.53,FALL
Minnesota,46,2016,305.0,1.0,0.0,0.33,0.33,0.0,FALL
Mississippi,46,2016,104.0,0.0,0.0,0.0,0.0,0.0,FALL
Missouri,46,2016,701.0,5.0,1.0,0.86,0.71,0.14,FALL
Montana,46,2016,133.0,4.0,0.0,3.01,3.01,0.0,FALL
Nebraska,46,2016,74.0,0.0,0.0,0.0,0.0,0.0,FALL
New Hampshire,46,2016,29.0,1.0,0.0,3.45,3.45,0.0,FALL
New Mexico,46,2016,284.0,0.0,0.0,0.0,0.0,0.0,FALL
New York,46,2016,1705.0,21.0,4.0,1.47,1.23,0.23,FALL
North Carolina,46,2016,267.0,3.0,2.0,1.87,1.12,0.75,FALL
North Dakota,46,2016,39.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,46,2016,1376.0,9.0,7.0,1.16,0.65,0.51,FALL
Oklahoma,46,2016,204.0,2.0,0.0,0.98,0.98,0.0,FALL
Oregon,46,2016,367.0,48.0,0.0,13.08,13.08,0.0,FALL
