YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2017,2,113,4983
2017,2,392,22003
2017,2,98,5086
2017,2,152,4388
2017,2,231,4022
2017,2,8,706
2017,2,3774,103571
2017,3,470,7698
2017,3,29,1475
2017,3,567,23274
2017,3,126,4080
2017,3,1441,51872
2017,3,79,3540
2017,3,111,3368
2017,3,9,2213
2017,3,87,1742
2017,3,2379,56774
2017,3,53,1455
2017,3,51,1851
2017,3,1443,47859
2017,3,108,5105
2017,3,56,3186
2017,3,345,6760
2017,3,462,10383
2017,3,1965,54071
2017,3,46,5064
2017,3,228,8342
2017,3,423,27962
2017,3,486,22609
2017,3,225,6616
2017,3,763,18275
2017,3,283,7559
2017,3,14,2903
2017,3,83,2893
2017,3,281,17434
2017,3,19,3675
2017,3,1009,16822
2017,3,305,11144
2017,3,913,13449
2017,3,397,14909
2017,3,35,1859
2017,3,358,20610
2017,3,463,5275
2017,3,143,5426
2017,3,465,13792
2017,3,28,3339
2017,3,360,6315
2017,3,245,9514
2017,3,417,10181
2017,3,1563,28538
2017,3,292,10091
2017,3,27,2316
2017,3,3049,95322
2017,3,186,4439
2017,3,619,23383
2017,3,150,5715
2017,3,109,4226
2017,3,226,4219
2017,3,6,667
2017,3,4359,106710
2017,4,449,8527
2017,4,31,1617
2017,4,569,25916
2017,4,178,4409
2017,4,1700,54562
2017,4,70,3734
2017,4,134,3594
2017,4,10,2803
2017,4,195,2639
2017,4,2370,56716
2017,4,77,1502
2017,4,34,1987
2017,4,1640,50900
2017,4,207,6038
2017,4,106,4006
2017,4,415,7406
2017,4,540,11099
2017,4,1943,52335
2017,4,40,4919
2017,4,261,9110
2017,4,583,32422
2017,4,580,24208
2017,4,236,6967
2017,4,663,18563
2017,4,410,7225
2017,4,11,3517
2017,4,80,3068
2017,4,308,19948
2017,4,28,4036
2017,4,1090,17588
2017,4,371,12588
2017,4,1174,15570
2017,4,431,15161
2017,4,68,1749
2017,4,431,21554
2017,4,609,5295
2017,4,168,5639
2017,4,535,13703
2017,4,82,4553
2017,4,475,7485
2017,4,298,9158
2017,4,433,10289
2017,4,1868,30099
2017,4,325,15878
2017,4,29,2009
2017,4,3173,96085
2017,4,130,4800
2017,4,564,22003
2017,4,179,6691
2017,4,136,4473
2017,4,284,4719
2017,4,6,1054
2017,4,4091,105805
2017,5,538,8307
2017,5,36,1571
2017,5,647,26430
2017,5,308,4590
2017,5,1667,52224
2017,5,83,3656
2017,5,174,3924
2017,5,21,2890
2017,5,247,2760
2017,5,2666,56378
2017,5,60,1403
2017,5,34,2006
2017,5,1810,50544
2017,5,281,6123
2017,5,87,3866
2017,5,635,7449
2017,5,464,10268
2017,5,2473,52627
2017,5,50,5368
2017,5,275,9460
2017,5,737,32953
2017,5,777,24553
2017,5,247,7168
2017,5,1112,20216
2017,5,476,7325
2017,5,18,3568
2017,5,106,3310
2017,5,332,18808
2017,5,25,3953
2017,5,1180,17453
2017,5,504,12264
2017,5,1431,16484
2017,5,773,14934
2017,5,84,2223
2017,5,533,19517
2017,5,780,5031
2017,5,180,5970
2017,5,655,15641
2017,5,115,4628
2017,5,425,5982
2017,5,409,10084
2017,5,544,11023
2017,5,2774,32705
2017,5,297,18482
2017,5,57,2978
2017,5,3603,96384
2017,5,101,4936
2017,5,574,19860
2017,5,231,6745
2017,5,204,4711
2017,5,280,4953
2017,5,5,766
2017,5,3892,103608
2017,6,705,9081
2017,6,60,1615
2017,6,670,27063
2017,6,481,4917
2017,6,1395,51778
2017,6,73,3591
2017,6,232,4251
2017,6,16,2506
2017,6,247,2630
2017,6,3038,59758
2017,6,55,1464
2017,6,34,1922
2017,6,2297,52630
2017,6,306,6485
2017,6,125,3898
2017,6,796,7684
2017,6,689,10579
2017,6,2978,53948
2017,6,75,4655
2017,6,422,9206
2017,6,750,27465
2017,6,1001,26958
2017,6,279,6318
2017,6,1365,21255
2017,6,556,8242
2017,6,19,3505
2017,6,132,3164
2017,6,335,19084
2017,6,39,3253
2017,6,1175,16965
2017,6,641,12980
2017,6,1466,14937
2017,6,877,15543
2017,6,123,2367
2017,6,659,21820
2017,6,941,6305
2017,6,179,5432
2017,6,735,12702
2017,6,172,4203
2017,6,503,7345
2017,6,524,10685
2017,6,892,12073
2017,6,3508,34116
2017,6,293,18386
2017,6,37,2886
2017,6,5392,103323
2017,6,47,3747
2017,6,628,21890
2017,6,254,6890
2017,6,170,4511
2017,6,279,4901
2017,6,13,728
2017,6,3744,100244
2017,7,691,9138
2017,7,71,1656
2017,7,549,23886
2017,7,489,5317
2017,7,1245,49338
2017,7,8,226
2017,7,234,4409
2017,7,40,3105
2017,7,196,2316
2017,7,3221,52694
2017,7,56,1504
2017,7,40,2004
2017,7,2435,51061
2017,7,363,6054
2017,7,108,3861
2017,7,590,6779
2017,7,1081,11726
2017,7,2832,54472
2017,7,52,4301
2017,7,581,9553
2017,7,714,29175
2017,7,1115,24224
2017,7,333,7321
2017,7,1238,19805
2017,7,411,8196
2017,7,4,3411
2017,7,69,3005
2017,7,248,18740
2017,7,59,3560
2017,7,938,16874
2017,7,615,12730
2017,7,1153,13929
2017,7,1044,15664
2017,7,74,1942
2017,7,694,22433
2017,7,680,5794
2017,7,171,5863
2017,7,698,14905
2017,7,210,5062
2017,7,507,7575
2017,7,474,10425
2017,7,883,12361
2017,7,2592,28018
2017,7,241,18596
2017,7,31,2881
2017,7,6048,102761
2017,7,41,4589
2017,7,841,23242
2017,7,228,7256
2017,7,138,4585
2017,7,222,4656
2017,7,1,732
2017,7,3016,100784
2017,8,650,8759
2017,8,59,1568
2017,8,564,22274
2017,8,390,4940
2017,8,1080,45216
2017,8,49,3726
2017,8,193,3831
2017,8,33,2884
2017,8,153,2114
2017,8,3464,57739
2017,8,56,1330
2017,8,28,1883
2017,8,2284,50022
2017,8,317,6019
2017,8,73,3735
2017,8,491,7123
2017,8,858,10439
2017,8,2549,54634
2017,8,56,4547
2017,8,579,9946
2017,8,669,26393
2017,8,1069,24925
2017,8,305,6607
2017,8,1344,19804
2017,8,354,8030
2017,8,8,3275
2017,8,56,2892
2017,8,240,18892
2017,8,65,3788
2017,8,812,16623
2017,8,562,12152
2017,8,811,12808
2017,8,1157,15232
2017,8,67,1913
2017,8,798,22248
2017,8,593,5685
2017,8,147,5805
2017,8,559,13941
2017,8,193,4479
2017,8,571,7562
2017,8,334,9833
2017,8,515,9877
2017,8,2635,29281
2017,8,258,16108
2017,8,50,2853
2017,8,7511,112599
2017,8,34,4408
2017,8,850,24018
2017,8,229,6731
2017,8,85,4090
2017,8,212,4771
2017,8,3,709
2017,8,2655,98964
2017,9,490,7785
2017,9,56,1589
2017,9,668,24273
2017,9,192,4287
2017,9,1082,50421
2017,9,60,3455
2017,9,175,4361
2017,9,18,3018
2017,9,206,2787
2017,9,2479,54203
2017,9,50,1484
2017,9,22,2069
2017,9,1743,49468
2017,9,201,6087
2017,9,42,3730
2017,9,367,7139
2017,9,633,10324
2017,9,2283,52240
2017,9,76,5497
2017,9,336,9900
2017,9,518,31591
2017,9,790,24211
2017,9,218,7198
2017,9,1165,19974
2017,9,243,7868
2017,9,5,3275
2017,9,42,3379
2017,9,241,19032
2017,9,41,3463
2017,9,632,15601
2017,9,445,11422
2017,9,407,13694
2017,9,994,16653
2017,9,74,2126
2017,9,494,20044
2017,9,460,5044
2017,9,139,5320
2017,9,374,14544
2017,9,138,4861
2017,9,408,7389
2017,9,243,9413
2017,9,628,11313
2017,9,2256,30054
2017,9,78,15802
2017,9,51,2827
2017,9,4085,101454
2017,9,35,4674
2017,9,815,24171
2017,9,171,6864
2017,9,85,4629
2017,9,181,4705
2017,9,8,676
2017,9,2157,99131
2017,10,567,8599
2017,10,29,1666
2017,10,604,24242
2017,10,207,4506
2017,10,1091,50256
2017,10,56,3546
2017,10,148,4309
2017,10,24,3037
2017,10,225,2751
2017,10,2487,55537
2017,10,68,1469
2017,10,29,1967
2017,10,1759,48592
2017,10,262,5135
2017,10,37,2898
2017,10,305,6951
2017,10,696,10372
2017,10,2156,54447
2017,10,88,5367
2017,10,345,9743
2017,10,460,27396
2017,10,868,24880
2017,10,206,5750
2017,10,954,18638
2017,10,231,7367
2017,10,7,3423
2017,10,45,2907
2017,10,201,18624
2017,10,39,3648
2017,10,575,14944
2017,10,402,12054
2017,10,419,13073
2017,10,670,12784
2017,10,53,1558
2017,10,435,20986
2017,10,320,4625
2017,10,97,6097
2017,10,301,11501
2017,10,112,4356
2017,10,346,6415
2017,10,225,9094
2017,10,507,7909
2017,10,2107,28985
2017,10,98,16044
2017,10,55,2757
2017,10,3677,102075
2017,10,20,4734
2017,10,798,25442
2017,10,167,6539
2017,10,120,4741
2017,10,153,4227
2017,10,8,704
2017,10,1829,95889
2017,11,477,7996
2017,11,40,1695
2017,11,506,23079
2017,11,153,4305
2017,11,1155,49444
2017,11,45,3723
2017,11,41,1221
2017,11,13,2470
2017,11,185,2044
2017,11,2683,56811
2017,11,39,1413
2017,11,22,2032
2017,11,1450,45468
2017,11,213,4693
2017,11,13,2124
2017,11,287,6712
2017,11,755,10002
2017,11,2003,53652
2017,11,85,4607
2017,11,310,7959
2017,11,435,24391
2017,11,753,23075
2017,11,164,5881
2017,11,843,17630
2017,11,169,6688
2017,11,9,3570
2017,11,57,2866
2017,11,238,19383
2017,11,33,2650
2017,11,451,13348
2017,11,368,11255
2017,11,383,9790
2017,11,423,12983
2017,11,24,1279
2017,11,401,19908
2017,11,274,4330
2017,11,127,5595
2017,11,299,10354
2017,11,63,3244
2017,11,387,6039
2017,11,241,9075
2017,11,325,8607
2017,11,1403,23973
2017,11,91,15526
2017,11,35,2161
2017,11,3654,101286
2017,11,26,3750
2017,11,769,23117
2017,11,157,6193
2017,11,66,4230
2017,11,176,4580
2017,11,6,746
2017,11,1890,91015
2017,12,586,8635
2017,12,45,1786
2017,12,559,25147
2017,12,124,3104
2017,12,925,47199
2017,12,60,3258
2017,12,98,4445
2017,12,10,2974
2017,12,239,3054
2017,12,3146,60328
2017,12,37,1118
2017,12,10,1713
2017,12,1440,46421
2017,12,193,5974
2017,12,25,3940
2017,12,224,5544
2017,12,850,10400
2017,12,1859,55006
2017,12,104,4640
2017,12,304,9288
2017,12,556,30457
2017,12,807,25083
2017,12,203,6724
2017,12,778,20023
2017,12,137,6788
2017,12,1,2476
2017,12,44,3240
2017,12,189,19436
2017,12,40,3644
2017,12,513,15717
2017,12,253,10668
2017,12,505,14124
2017,12,848,15544
2017,12,29,1874
2017,12,435,20178
2017,12,314,4794
2017,12,74,4748
2017,12,259,10986
2017,12,132,4948
2017,12,487,6343
2017,12,176,9160
2017,12,617,10429
2017,12,1258,28040
2017,12,95,15996
2017,12,42,2822
2017,12,4173,108006
2017,12,22,4349
2017,12,683,23141
2017,12,116,5467
2017,12,80,4433
2017,12,162,4655
2017,12,6,767
2017,12,2185,104155
2017,13,365,7043
2017,13,77,1790
2017,13,542,22929
2017,13,108,3955
2017,13,845,42998
2017,13,53,3812
2017,13,97,4144
2017,13,17,2979
2017,13,207,2898
2017,13,2505,59664
2017,13,26,934
2017,13,10,1805
2017,13,1348,49288
2017,13,136,5123
2017,13,11,3936
2017,13,170,6427
2017,13,514,9360
2017,13,1465,52863
2017,13,74,4440
2017,13,344,9630
2017,13,668,32984
2017,13,624,23128
2017,13,207,6547
2017,13,667,19349
2017,13,107,6099
2017,13,8,3497
2017,13,26,2926
2017,13,163,18207
2017,13,33,3700
2017,13,620,15555
2017,13,215,10921
2017,13,568,12387
2017,13,603,14820
2017,13,32,1727
2017,13,322,18750
2017,13,187,4447
2017,13,41,4584
2017,13,309,11712
2017,13,121,4234
2017,13,309,5545
2017,13,165,9174
2017,13,540,11198
2017,13,1065,26577
2017,13,83,15674
2017,13,40,2812
2017,13,3963,104201
2017,13,32,4475
